"","name","mass","eff","diet","order","family","habitat","fac"
"2","Abrocoma_bennettii",0.2505,0.555687364492283,2,"Rodentia","Abrocomidae",5,1
"3","Acinonyx_jubatus",50,0.852430692232511,1,"Carnivora","Felidae",4,3
"4","Acomys_cahirinus",0.0525,0.600016231271678,3,"Rodentia","Muridae",3,1
"5","Acrobates_pygmaeus",0.012,0.612040450937225,3,"Diprotodontia","Arcobatidae",1,2
"6","Addax_nasomaculatus",70.0003,0.917332986630974,2,"Artiodactyla","Bovidae",3,3
"7","Aepyceros_melampus",52.5001,0.868330184964409,2,"Artiodactyla","Bovidae",4,3
"8","Aepyprymnus_rufescens",3.25,0.604893167277628,2,"Diprotodontia","Potoroidae",1,3
"9","Agouti_paca",8,0.775456333555696,2,"Rodentia","Agoutidae",1,3
"10","Ailuropoda_melanoleuca",108.4,0.762186633358372,1,"Carnivora","Ursidae",1,3
"11","Ailurops_ursinus",10,0.661447266873944,2,"Diprotodontia","Phalangeridae",2,2
"12","Ailurus_fulgens",4.9,0.721498062919881,1,"Carnivora","Ursidae",2,2
"13","Alcelaphus_buselaphus",171.0015,0.872906874022408,2,"Artiodactyla","Bovidae",4,3
"14","Alces_alces",358.9963,0.874788952394325,2,"Artiodactyla","Cervidae",4,3
"15","Allactaga_elater",0.059,0.57164663487596,2,"Rodentia","Dipodidae",3,3
"16","Allenopithecus_nigroviridis",4.75,0.789663466017983,3,"Primates","Cercopithecidae",2,2
"17","Allocebus_trichotis",0.0775,0.699998676746843,3,"Primates","Cheirogaleidae",2,2
"18","Alopex_lagopus",4.86765,0.85282329909209,1,"Carnivora","Canidae",4,3
"19","Alouatta_fusca",8,0.658712409254787,2,"Primates","Cebidae",2,2
"20","Ammospermophilus_leucurus",0.1037,0.476078044587198,2,"Rodentia","Sciuridae",3,1
"21","Antechinus_flavipes",0.045,0.514278755075726,2,"Dasyuromorphia","Dasyuridae",1,2
"22","Antechinus_stuartii",0.0275,0.540525795359109,2,"Dasyuromorphia","Dasyuridae",1,2
"23","Antidorcas_marsupialis",39.0499,0.83644647202443,2,"Artiodactyla","Bovidae",4,3
"24","Antilocapra_americana",46.0829,0.873867771718151,2,"Artiodactyla","Antilocapridae",4,3
"25","Antilope_cervicapra",37.5,0.866047483261435,2,"Artiodactyla","Bovidae",4,3
"26","Aotus_lemurinus",0.873,0.763248951175383,3,"Primates","Cebidae",2,2
"27","Aplodontia_rufa",1.004,0.705409388028427,2,"Rodentia","Aplodontidae",5,1
"28","Apodemus_agrarius",0.0215,0.614484170422801,3,"Rodentia","Muridae",4,1
"29","Arborimus_longicaudus",0.0218,0.640896607500198,2,"Rodentia","Muridae",2,2
"30","Arctictis_binturong",13,0.700359352100788,1,"Carnivora","Viverridae",2,2
"31","Arctogalidia_trivirgata",2.25,0.672117661686168,1,"Carnivora","Viverridae",2,2
"32","Arctonyx_collaris",6.356,0.79580516127016,1,"Carnivora","Mustelidae",1,1
"33","Arvicanthis_niloticus",0.1388,0.638986510242607,2,"Rodentia","Muridae",4,1
"34","Atelerix_albiventris",0.6,0.670268387732221,1,"Insectivora","Erinaceidae",4,3
"35","Ateles_belzebuth",5,0.580765657653966,3,"Primates","Cebidae",2,2
"36","Ateles_geoffroyi",5.2849,0.834840184994827,3,"Primates","Cebidae",2,2
"37","Atilax_paludinosus",3.3,0.724511497203969,1,"Carnivora","Herpestidae",1,3
"38","Atlantoxerus_getulus",0.251,0.633137711252085,2,"Rodentia","Sciuridae",3,1
