"","name","mass","eff","diet","order","family","habitat","fac"
"2","Abrocoma_bennettii",0.2505,0.715279505776796,2,"Rodentia","Abrocomidae",5,1
"3","Acinonyx_jubatus",50,0.905531459957295,1,"Carnivora","Felidae",4,3
"4","Acomys_cahirinus",0.0525,0.745430590098254,3,"Rodentia","Muridae",3,1
"5","Acrobates_pygmaeus",0.012,0.718768069847082,3,"Diprotodontia","Arcobatidae",1,2
"6","Addax_nasomaculatus",70.0003,0.881687755772096,2,"Artiodactyla","Bovidae",3,3
"7","Aepyceros_melampus",52.5001,0.912731682738651,2,"Artiodactyla","Bovidae",4,3
"8","Aepyprymnus_rufescens",3.25,0.728525249969578,2,"Diprotodontia","Potoroidae",1,3
"9","Agouti_paca",8,0.767477994139452,2,"Rodentia","Agoutidae",1,3
"10","Ailuropoda_melanoleuca",108.4,0.856941438868995,1,"Carnivora","Ursidae",1,3
"11","Ailurops_ursinus",10,0.76554273386255,2,"Diprotodontia","Phalangeridae",2,2
"12","Ailurus_fulgens",4.9,0.627209864729956,1,"Carnivora","Ursidae",2,2
"13","Alcelaphus_buselaphus",171.0015,0.915949744251126,2,"Artiodactyla","Bovidae",4,3
"14","Alces_alces",358.9963,0.880222053500352,2,"Artiodactyla","Cervidae",4,3
"15","Allactaga_elater",0.059,0.689129446102597,2,"Rodentia","Dipodidae",3,3
"16","Allenopithecus_nigroviridis",4.75,0.801825089984641,3,"Primates","Cercopithecidae",2,2
"17","Allocebus_trichotis",0.0775,0.643308144970575,3,"Primates","Cheirogaleidae",2,2
"18","Alopex_lagopus",4.86765,0.830113688964029,1,"Carnivora","Canidae",4,3
"19","Alouatta_fusca",8,0.768463082112788,2,"Primates","Cebidae",2,2
"20","Ammospermophilus_leucurus",0.1037,0.717003767218437,2,"Rodentia","Sciuridae",3,1
"21","Antechinus_flavipes",0.045,0.548760556741299,2,"Dasyuromorphia","Dasyuridae",1,2
"22","Antechinus_stuartii",0.0275,0.617183150193777,2,"Dasyuromorphia","Dasyuridae",1,2
"23","Antidorcas_marsupialis",39.0499,0.892224152514849,2,"Artiodactyla","Bovidae",4,3
"24","Antilocapra_americana",46.0829,0.875215217803681,2,"Artiodactyla","Antilocapridae",4,3
"25","Antilope_cervicapra",37.5,0.839438014162361,2,"Artiodactyla","Bovidae",4,3
"26","Aotus_lemurinus",0.873,0.819962477708832,3,"Primates","Cebidae",2,2
"27","Aplodontia_rufa",1.004,0.740266365529013,2,"Rodentia","Aplodontidae",5,1
"28","Apodemus_agrarius",0.0215,0.729166907835232,3,"Rodentia","Muridae",4,1
"29","Arborimus_longicaudus",0.0218,0.760556642728739,2,"Rodentia","Muridae",2,2
"30","Arctictis_binturong",13,0.63967821126122,1,"Carnivora","Viverridae",2,2
"31","Arctogalidia_trivirgata",2.25,0.672225962839881,1,"Carnivora","Viverridae",2,2
"32","Arctonyx_collaris",6.356,0.684984483440645,1,"Carnivora","Mustelidae",1,1
"33","Arvicanthis_niloticus",0.1388,0.703071900827925,2,"Rodentia","Muridae",4,1
"34","Atelerix_albiventris",0.6,0.618611615164357,1,"Insectivora","Erinaceidae",4,3
"35","Ateles_belzebuth",5,0.790702729910205,3,"Primates","Cebidae",2,2
"36","Ateles_geoffroyi",5.2849,0.840637286889367,3,"Primates","Cebidae",2,2
"37","Atilax_paludinosus",3.3,0.746353367286302,1,"Carnivora","Herpestidae",1,3
"38","Atlantoxerus_getulus",0.251,0.742733668679281,2,"Rodentia","Sciuridae",3,1
"39","Auliscomys_boliviensis",0.0657,0.747868980204101,2,"Rodentia","Muridae",3,3
"40","Avahi_laniger",0.9,0.827846981558111,2,"Primates","Indridae",2,2
"41","Axis_axis",67.2818667,0.868990284533191,2,"Artiodactyla","Cervidae",4,3
"42","Babyrousa_babyrussa",100,0.748337258902137,2,"Artiodactyla","Suidae",1,3
"43","Bandicota_indica",0.71995,0.697439502237753,2,"Rodentia","Muridae",4,1
"44","Bassaricyon_gabbii",1.25,0.663947405982686,1,"Carnivora","Procyonidae",2,2
"45","Bettongia_penicillata",1.3,0.674491066778101,3,"Diprotodontia","Potoroidae",1,3
"46","Bison_bison",579.2553,0.872530933163027,2,"Artiodactyla","Bovidae",4,3
"47","Blarina_brevicauda",0.028,0.649622825986437,3,"Insectivora","Soricidae",4,1
"48","Bos_sauveli",800,0.874758372302593,2,"Artiodactyla","Bovidae",4,3
"49","Bradypus_torquatus",3.9,0.71184554113397,2,"Xenarthra","Bradypodidae",2,2
"50","Bubalus_bubalis",825,0.858686036982953,2,"Artiodactyla","Bovidae",4,3
"51","Budorcas_taxicolor",302,0.866024920879646,2,"Artiodactyla","Bovidae",5,3
"52","Burramys_parvus",0.0415,0.607402263436353,3,"Diprotodontia","Burramyidae",2,2
"53","Cabassous_chacoensis",1.49,0.610684795511571,3,"Xenarthra","Dasypodidae",1,1
"54","Cacajao_melanocephalus",3.8,0.652798244407736,2,"Primates","Cebidae",2,2
"55","Callicebus_personatus",1.35,0.822593897517241,2,"Primates","Cebidae",2,2
"56","Callimico_goeldii",0.48,0.696747754822575,3,"Primates","Callitrichidae",2,2
"57","Callithrix_jacchus",0.292,0.737735508105321,3,"Primates","Callitrichidae",2,2
"58","Callosciurus_caniceps",0.257,0.766509250719968,3,"Rodentia","Sciuridae",2,2
"59","Calomyscus_bailwardi",0.0204,0.739866185556109,2,"Rodentia","Muridae",3,1
"60","Caluromys_derbianus",0.297,0.716597098549116,3,"Didelphimorphia","Didelphidae",2,2
"61","Camelus_bactrianus",690,0.861225390784854,2,"Artiodactyla","Camelidae",3,3
"62","Camelus_dromedarius",601,0.887991703551985,2,"Artiodactyla","Camelidae",3,3
"63","Canis_aureus",10.3452,0.870482573278094,1,"Carnivora","Canidae",4,3
"64","Canis_latrans",13.4063,0.854715999679225,1,"Carnivora","Canidae",4,3
"65","Canis_lupus",32.183,0.83999883580937,1,"Carnivora","Canidae",4,3
"66","Canis_mesomelas",8.5,0.845600500069692,1,"Carnivora","Canidae",4,3
"67","Canis_rufus",22.9832,0.858977712112112,1,"Carnivora","Canidae",4,3
"68","Canis_simensis",10,0.855560204577186,1,"Carnivora","Canidae",4,3
"69","Capra_caucasica",55,0.85191218824884,2,"Artiodactyla","Bovidae",5,3
"70","Capra_falconeri",41,0.872208938984049,2,"Artiodactyla","Bovidae",5,3
"71","Capreolus_capreolus",22.5,0.858887719604621,2,"Artiodactyla","Cervidae",4,3
"72","Capromys_pilorides",5.65,0.750439673495534,3,"Rodentia","Capromyidae",1,3
"73","Caracal_caracal",13.7499,0.820769123262148,1,"Carnivora","Felidae",4,3
"74","Catopuma_temminckii",11.5,0.806511896812219,1,"Carnivora","Felidae",1,3
"75","Cavia_aperea",0.549,0.71927937815517,2,"Rodentia","Caviidae",4,1
"76","Cebus_capucinus",2.7333,0.864537849966359,3,"Primates","Cebidae",2,2
"77","Cephalophus_adersi",9.25,0.849802644315584,2,"Artiodactyla","Bovidae",1,3
"78","Cephalophus_monticola",6.25,0.845485988134554,2,"Artiodactyla","Bovidae",1,3
"79","Ceratotherium_simum",2949.9863,0.811428942066221,2,"Perissodactyla","Rhinocerotidae",4,3
"80","Cercartetus_concinnus",0.013,0.647895658292045,2,"Diprotodontia","Burramyidae",2,2
"81","Cercocebus_galeritus",7.835,0.927230230329916,2,"Primates","Cercopithecidae",2,2
"82","Cercopithecus_petaurista",2.775,0.846116620513368,3,"Primates","Cercopithecidae",2,2
"83","Cervus_elaphus",165.01585,0.881926038635934,2,"Artiodactyla","Cervidae",4,3
"84","Cervus_unicolor",177.508325,0.878295204465362,2,"Artiodactyla","Cervidae",4,3
"85","Chaetodipus_baileyi",0.0263,0.619847690049139,3,"Rodentia","Heteromyidae",3,1
"86","Chaetodipus_fallax",0.0187,0.62105526622182,2,"Rodentia","Heteromyidae",3,1
"87","Chaetomys_subspinosus",1.3,0.791700494487059,2,"Rodentia","Echimyidae",2,2
"88","Chaetophractus_nationi",2.15,0.609672979028441,1,"Xenarthra","Dasypodidae",5,1
"89","Cheirogaleus_major",0.45,0.732774165696022,3,"Primates","Cheirogaleidae",2,2
"90","Chinchilla_brevicaudata",0.5,0.752986284098711,3,"Rodentia","Chinchillidae",5,3
"91","Chionomys_nivalis",0.054,0.707502999128948,2,"Rodentia","Muridae",5,1
"92","Chironectes_minimus",0.946,0.700103562394594,1,"Didelphimorphia","Didelphidae",1,2
"93","Chiropodomys_gliroides",0.0215,0.73119086115935,2,"Rodentia","Muridae",2,2
"94","Chiropotes_satanas",3,0.848349514293417,3,"Primates","Cebidae",2,2
